time,dissolved_salt_kg,halite_well,p_well,porosity_well,sgas_well,solid_salt_vol,total_salt_kg,xnacl_well
0,0,0,12000000,0,0,0,0,0
250,2486757.2792017,0,12000000,0.12,0.19991564445264,0,2486757.2792017,0.12351385730458
500,2486757.2792017,0,12611458.906563,0.12,0.26175782941933,0,2486757.2792017,0.11678420071787
875,2486757.2792017,0,12614906.991704,0.12,0.30345130288046,0,2486757.2792017,0.11289694557272
1437.5,2486757.2792017,0,12608849.764686,0.12,0.33803654703521,0,2486757.2792017,0.11053709688515
2281.25,2486757.2792017,0,12614199.582858,0.12,0.37048319871159,0,2486757.2792017,0.10949155041985
3546.875,2486757.2792017,0,12613983.498947,0.12,0.40412145835651,0,2486757.2792017,0.10987116128864
5445.3125,2486757.2792017,0,12609156.313879,0.12,0.44275374928579,0,2486757.2792017,0.11188267758219
8292.96875,2486757.2792017,0,12610970.857387,0.12,0.49194212764699,0,2486757.2792017,0.11579581652995
10428.7109375,2486757.2792017,0,12600319.943439,0.12,0.52677714547041,0,2486757.2792017,0.11896250890488
12564.453125,2486757.2323907,0.00029518376169119,12593453.723431,0.12,0.56028377774317,1.9994426816947e-05,2486757.2756786,0.12044223372377
